Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Date Deal First Announced Publicly,Price (in USD million),Price/Dose (in USD),Buyer/recipient,Region,Income level,"GNI per capita, Atlas method (current US$)","GNI, Atlas method (current US$)", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Multilateral Purchase,Terminated,Serum Institute,India,500.00,At least 50 million doses will be available from April to June 2021,, Not available ,,African Union,0,Lower middle income,1822.20,2373996740642.72," 1,302,819,408.00 ",1302.82,0.3838,19.19%,"Arrangement terminated in April 2021; AU cited desire not to duplicate COVAX efforts. AU had purchased an additional 400m from the Serum Institute after the initial arrangement announced in January 2021. The first 100m doses were reported to cost 300m; it is unclear whether that price held for the additional 400m. GNI/population calculated without Saharawi due to lack of World Bank data. The data, however, includes Burundi and Tanzania - two countries which have refused COVID vaccines as of now.","https://www.reuters.com/article/uk-health-coronavirus-africa/african-union-drops-astrazeneca-vaccine-which-covax-will-supply-idUSKBN2BV14Y ; https://www.reuters.com/article/us-health-coronavirus-africa-idUSKBN29X1CE; https://www.news24.com/citypress/business/covid-19-shots-to-cost-3-to-10-under-african-union-vaccine-plan-20210120; https://www.reuters.com/article/uk-health-coronavirus-africa/african-union-secures-270-million-covid-19-vaccine-doses-from-manufacturers-idUSKBN29J0OW
http://www.thepresidency.gov.za/newsletters/africa-centres-disease-control-and-prevention-secures-first-tranche-covid-vaccines"
Gamaleya,Russian Federation,Approved,2,Multilateral Purchase,Yes,,,300.00,May-21,2/19/2021," 2,925.00 ",9.750,African Union,0,Lower middle income,1822.20,2373996740642.72," 1,302,819,408.00 ",1302.82,0.2303,11.51%,"Price/dose used to calculated total price. Russia is reportedly also offering to provide a financing package for interested AU Member States. GNI/population calculated without Saharawi due to lack of World Bank data. The data, however, includes Burundi and Tanzania - two countries which have refused COVID vaccines as of now. ",https://www.reuters.com/article/health-coronavirus-africa/update-2-african-union-says-russia-offers-300-mln-doses-of-sputnik-v-vaccine-idUSL8N2KP2TH ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Johnson & Johnson,United States/Belgium,Approved,1,Multilateral Purchase,Yes,,,220.00,At least 50 million doses will be available from April to June 2021,3/29/2021," 2,200.00 ",10.000,African Union,0,Lower middle income,1822.20,2373996740642.72," 1,302,819,408.00 ",1302.82,0.1689,16.89%,"African Union will have option to order an additional 180m doses through 2022. GNI/population calculated without Saharawi Arab Democratic Republic due to lack of World Bank data. The data, however, includes Burundi and Tanzania - two countries which have refused COVID vaccines as of now. 10 USD/dose estimate provided in news reports used to estimate total price.","https://www.news24.com/citypress/business/covid-19-shots-to-cost-3-to-10-under-african-union-vaccine-plan-20210120; https://www.reuters.com/article/uk-health-coronavirus-africa/african-union-secures-270-million-covid-19-vaccine-doses-from-manufacturers-idUSKBN29J0OW
http://www.thepresidency.gov.za/newsletters/africa-centres-disease-control-and-prevention-secures-first-tranche-covid-vaccines ; https://www.jnj.com/johnson-johnson-announces-advance-purchase-agreement-with-the-african-vaccine-acquisition-trust-for-the-companys-covid-19-vaccine-candidate"
Pfizer/BioNTech,United States/Germany,Approved,2,Multilateral Purchase,Yes,,,50.00,At least 50 million doses will be available from April to June 2021,, 337.50 ,6.750,African Union,0,Lower middle income,1822.20,2373996740642.72," 1,302,819,408.00 ",1302.82,0.0384,1.92%,"GNI/population calculated without Saharawi due to lack of World Bank data. The data, however, includes Burundi and Tanzania - two countries which have refused COVID vaccines as of now. 6.75 USD/dose reported scaled up to provide estimated total price.","https://www.reuters.com/article/us-health-coronavirus-j-j-vaccine/jj-agrees-to-supply-african-union-with-up-to-400-million-covid-shots-idUSKBN2BL0QS ; https://www.news24.com/citypress/business/covid-19-shots-to-cost-3-to-10-under-african-union-vaccine-plan-20210120; https://www.reuters.com/article/uk-health-coronavirus-africa/african-union-secures-270-million-covid-19-vaccine-doses-from-manufacturers-idUSKBN29J0OW
http://www.thepresidency.gov.za/newsletters/africa-centres-disease-control-and-prevention-secures-first-tranche-covid-vaccines"
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,NA,,,Not available,,Albania,Europe & Central Asia,Upper middle income,5220.00,14906826613.21," 2,854,191.00 ",2.85,#VALUE!,#VALUE!,"Reports suggest that Albania has received doses from Gamaleya but the details of the agreement are unavailable. AP reports a total purchase of 2.5m doses from Pfizer, Gamaleya, Sinovac and AstraZeneca.",https://www.reuters.com/article/us-health-coronavirus-albania-vaccines/albania-gets-192000-doses-of-chinese-sinovac-vaccine-idUSKBN2BH2N9 ; https://apnews.com/article/tirana-albania-europe-coronavirus-pandemic-coronavirus-vaccine-1b00c50e0b04984dcfe5075982b71b0c
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,0.50,January and February 2021,, Not available ,,Albania,Europe & Central Asia,Upper middle income,5220.00,14906826613.21," 2,854,191.00 ",2.85,0.1752,8.76%,"Contract will not be made public ""due to confidentiality clauses""",https://euronews.al/en/daily-news/2021/01/15/albania-to-keep-vaccine-agreement-with-pfizer-and-biontech-secret ; https://seenews.com/news/albania-strikes-deal-with-pfizer-for-500000-covid-19-vaccines-726604
Sinovac,China,Approved,2,Government Purchase,Yes,,,1.00,Mar-21,3/25/2021,Not available,,Albania,Europe & Central Asia,Upper middle income,5220.00,14906826613.21," 2,854,191.00 ",2.85,0.3504,17.52%,Agreement announced after Albania started receiving shipments of the vaccine. Option for an additional purchase of 0.5m doses,https://www.reuters.com/article/us-health-coronavirus-albania-vaccines/albania-gets-192000-doses-of-chinese-sinovac-vaccine-idUSKBN2BH2N9
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,0.80,Jan-21,2/16/2021,Not available,,Algeria,Middle East & North Africa,Lower middle income,4010.00,172476083947.37," 43,053,054.00 ",43.05,0.0186,0.93%,0.05m doses delivered in Jan 2021,https://www.dzbreaking.com/2021/02/16/covid-19-algeria-to-purchase-800000-doses-of-atrazeneca-vaccine-from-indian-laboratory/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,NA,,, Not available ,9.750,Algeria,Middle East & North Africa,Lower middle income,4010.00,172476083947.37," 43,053,054.00 ",43.05,#VALUE!,#VALUE!,,https://www.aljazeera.com/news/2020/12/31/bolivia-algeria-sign-vaccine-deals-for-russias-sputnik-v ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,0.58,Feb-21,, Not available ,,Argentina,Latin America & Caribbean,Upper middle income,11130.00,500111583144.61," 44,938,712.00 ",44.94,0.0129,0.65%,,https://www.financialexpress.com/lifestyle/health/vaccine-maitri-diplomacy-more-latin-american-countries-to-get-covid-vaccine-doses-from-india/2194625/ ; https://www.reuters.com/article/health-coronavirus-argentina-vaccine-idUSKBN2AH07M
